t	H	V	T	P
2.000e-03	-6.765e+02	-6.764868e+02	2.551e-03	0.000e+00
6.000e-03	-6.765e+02	-6.765175e+02	2.221e-02	0.000e+00
1.000e-02	-6.765e+02	-6.765730e+02	5.771e-02	0.000e+00
1.400e-02	-6.765e+02	-6.766427e+02	1.023e-01	0.000e+00
1.800e-02	-6.765e+02	-6.767137e+02	1.478e-01	0.000e+00
2.200e-02	-6.765e+02	-6.767736e+02	1.861e-01	0.000e+00
2.600e-02	-6.765e+02	-6.768130e+02	2.114e-01	0.000e+00
3.000e-02	-6.765e+02	-6.768271e+02	2.204e-01	0.000e+00
3.400e-02	-6.765e+02	-6.768165e+02	2.137e-01	0.000e+00
3.800e-02	-6.765e+02	-6.767866e+02	1.946e-01	0.000e+00
4.200e-02	-6.765e+02	-6.767462e+02	1.688e-01	0.000e+00
4.600e-02	-6.765e+02	-6.767054e+02	1.426e-01	0.000e+00
5.000e-02	-6.765e+02	-6.766732e+02	1.221e-01	0.000e+00
5.400e-02	-6.765e+02	-6.766562e+02	1.111e-01	0.000e+00
5.800e-02	-6.765e+02	-6.766566e+02	1.114e-01	0.000e+00
6.200e-02	-6.765e+02	-6.766728e+02	1.217e-01	0.000e+00
6.600e-02	-6.765e+02	-6.766992e+02	1.386e-01	0.000e+00
7.000e-02	-6.765e+02	-6.767281e+02	1.571e-01	0.000e+00
7.400e-02	-6.765e+02	-6.767514e+02	1.720e-01	0.000e+00
7.800e-02	-6.765e+02	-6.767623e+02	1.789e-01	0.000e+00
8.200e-02	-6.765e+02	-6.767567e+02	1.753e-01	0.000e+00
8.600e-02	-6.765e+02	-6.767346e+02	1.612e-01	0.000e+00
9.000e-02	-6.765e+02	-6.766995e+02	1.387e-01	0.000e+00
9.400e-02	-6.765e+02	-6.766581e+02	1.122e-01	0.000e+00
9.800e-02	-6.765e+02	-6.766186e+02	8.694e-02	0.000e+00
1.020e-01	-6.765e+02	-6.765889e+02	6.797e-02	0.000e+00
1.060e-01	-6.765e+02	-6.765751e+02	5.915e-02	0.000e+00
1.100e-01	-6.765e+02	-6.765800e+02	6.224e-02	0.000e+00
1.140e-01	-6.765e+02	-6.766024e+02	7.657e-02	0.000e+00
1.180e-01	-6.765e+02	-6.766379e+02	9.929e-02	0.000e+00
1.220e-01	-6.765e+02	-6.766796e+02	1.260e-01	0.000e+00
1.260e-01	-6.765e+02	-6.767200e+02	1.518e-01	0.000e+00
1.300e-01	-6.765e+02	-6.767521e+02	1.724e-01	0.000e+00
1.340e-01	-6.765e+02	-6.767712e+02	1.846e-01	0.000e+00
1.380e-01	-6.765e+02	-6.767755e+02	1.874e-01	0.000e+00
1.420e-01	-6.765e+02	-6.767661e+02	1.814e-01	0.000e+00
1.460e-01	-6.765e+02	-6.767466e+02	1.690e-01	0.000e+00
1.500e-01	-6.765e+02	-6.767222e+02	1.533e-01	0.000e+00
1.540e-01	-6.765e+02	-6.766981e+02	1.380e-01	0.000e+00
1.580e-01	-6.765e+02	-6.766791e+02	1.258e-01	0.000e+00
1.620e-01	-6.765e+02	-6.766680e+02	1.187e-01	0.000e+00
1.660e-01	-6.765e+02	-6.766659e+02	1.173e-01	0.000e+00
1.700e-01	-6.765e+02	-6.766716e+02	1.209e-01	0.000e+00
1.740e-01	-6.765e+02	-6.766825e+02	1.279e-01	0.000e+00
1.780e-01	-6.765e+02	-6.766949e+02	1.358e-01	0.000e+00
1.820e-01	-6.765e+02	-6.767053e+02	1.424e-01	0.000e+00
1.860e-01	-6.765e+02	-6.767105e+02	1.458e-01	0.000e+00
1.900e-01	-6.765e+02	-6.767090e+02	1.448e-01	0.000e+00
1.940e-01	-6.765e+02	-6.767007e+02	1.395e-01	0.000e+00
1.980e-01	-6.765e+02	-6.766872e+02	1.309e-01	0.000e+00
2.020e-01	-6.765e+02	-6.766714e+02	1.208e-01	0.000e+00
2.060e-01	-6.765e+02	-6.766570e+02	1.115e-01	0.000e+00
2.100e-01	-6.765e+02	-6.766473e+02	1.053e-01	0.000e+00
2.140e-01	-6.765e+02	-6.766451e+02	1.040e-01	0.000e+00
2.180e-01	-6.765e+02	-6.766518e+02	1.082e-01	0.000e+00
2.220e-01	-6.765e+02	-6.766665e+02	1.177e-01	0.000e+00
2.260e-01	-6.765e+02	-6.766872e+02	1.309e-01	0.000e+00
2.300e-01	-6.765e+02	-6.767100e+02	1.455e-01	0.000e+00
2.340e-01	-6.765e+02	-6.767306e+02	1.587e-01	0.000e+00
2.380e-01	-6.765e+02	-6.767452e+02	1.680e-01	0.000e+00
2.420e-01	-6.765e+02	-6.767509e+02	1.717e-01	0.000e+00
2.460e-01	-6.765e+02	-6.767466e+02	1.689e-01	0.000e+00
2.500e-01	-6.765e+02	-6.767332e+02	1.603e-01	0.000e+00
2.540e-01	-6.765e+02	-6.767132e+02	1.475e-01	0.000e+00
2.580e-01	-6.765e+02	-6.766904e+02	1.329e-01	0.000e+00
2.620e-01	-6.765e+02	-6.766688e+02	1.191e-01	0.000e+00
2.660e-01	-6.765e+02	-6.766520e+02	1.084e-01	0.000e+00
2.700e-01	-6.765e+02	-6.766426e+02	1.023e-01	0.000e+00
2.740e-01	-6.765e+02	-6.766414e+02	1.016e-01	0.000e+00
2.780e-01	-6.765e+02	-6.766479e+02	1.057e-01	0.000e+00
2.820e-01	-6.765e+02	-6.766602e+02	1.136e-01	0.000e+00
2.860e-01	-6.765e+02	-6.766754e+02	1.233e-01	0.000e+00
2.900e-01	-6.765e+02	-6.766906e+02	1.330e-01	0.000e+00
2.940e-01	-6.765e+02	-6.767030e+02	1.410e-01	0.000e+00
2.980e-01	-6.765e+02	-6.767109e+02	1.460e-01	0.000e+00
3.020e-01	-6.765e+02	-6.767135e+02	1.477e-01	0.000e+00
3.060e-01	-6.765e+02	-6.767113e+02	1.463e-01	0.000e+00
3.100e-01	-6.765e+02	-6.767057e+02	1.428e-01	0.000e+00
3.140e-01	-6.765e+02	-6.766987e+02	1.383e-01	0.000e+00
3.180e-01	-6.765e+02	-6.766923e+02	1.342e-01	0.000e+00
3.220e-01	-6.765e+02	-6.766881e+02	1.315e-01	0.000e+00
3.260e-01	-6.765e+02	-6.766868e+02	1.307e-01	0.000e+00
3.300e-01	-6.765e+02	-6.766884e+02	1.317e-01	0.000e+00
3.340e-01	-6.765e+02	-6.766919e+02	1.339e-01	0.000e+00
3.380e-01	-6.765e+02	-6.766962e+02	1.367e-01	0.000e+00
3.420e-01	-6.765e+02	-6.766998e+02	1.390e-01	0.000e+00
3.460e-01	-6.765e+02	-6.767016e+02	1.401e-01	0.000e+00
3.500e-01	-6.765e+02	-6.767012e+02	1.398e-01	0.000e+00
3.540e-01	-6.765e+02	-6.766985e+02	1.381e-01	0.000e+00
3.580e-01	-6.765e+02	-6.766943e+02	1.354e-01	0.000e+00
3.620e-01	-6.765e+02	-6.766894e+02	1.323e-01	0.000e+00
3.660e-01	-6.765e+02	-6.766850e+02	1.295e-01	0.000e+00
3.700e-01	-6.765e+02	-6.766819e+02	1.275e-01	0.000e+00
3.740e-01	-6.765e+02	-6.766808e+02	1.268e-01	0.000e+00
3.780e-01	-6.765e+02	-6.766818e+02	1.274e-01	0.000e+00
3.820e-01	-6.765e+02	-6.766848e+02	1.294e-01	0.000e+00
3.860e-01	-6.765e+02	-6.766894e+02	1.323e-01	0.000e+00
3.900e-01	-6.765e+02	-6.766948e+02	1.358e-01	0.000e+00
3.940e-01	-6.765e+02	-6.767004e+02	1.394e-01	0.000e+00
3.980e-01	-6.765e+02	-6.767053e+02	1.425e-01	0.000e+00
4.020e-01	-6.765e+02	-6.767087e+02	1.447e-01	0.000e+00
4.060e-01	-6.765e+02	-6.767099e+02	1.454e-01	0.000e+00
4.100e-01	-6.765e+02	-6.767083e+02	1.444e-01	0.000e+00
4.140e-01	-6.765e+02	-6.767040e+02	1.417e-01	0.000e+00
4.180e-01	-6.765e+02	-6.766974e+02	1.374e-01	0.000e+00
4.220e-01	-6.765e+02	-6.766893e+02	1.322e-01	0.000e+00
4.260e-01	-6.765e+02	-6.766810e+02	1.269e-01	0.000e+00
4.300e-01	-6.765e+02	-6.766740e+02	1.224e-01	0.000e+00
4.340e-01	-6.765e+02	-6.766697e+02	1.197e-01	0.000e+00
4.380e-01	-6.765e+02	-6.766690e+02	1.193e-01	0.000e+00
4.420e-01	-6.765e+02	-6.766723e+02	1.214e-01	0.000e+00
4.460e-01	-6.765e+02	-6.766789e+02	1.256e-01	0.000e+00
4.500e-01	-6.765e+02	-6.766875e+02	1.311e-01	0.000e+00
4.540e-01	-6.765e+02	-6.766961e+02	1.366e-01	0.000e+00
